id,firstName,lastName,address,city,province,profession,resume
"1","John","Doe","123 Main St","New York","NY","Software Engineer","John Doe is a Software Engineer with 5 years of experience in the tech industry. Skills include: Java, Python, C++, SQL, and JavaScript. Experienced in Agile methodologies and full software development life cycle. Holds a Bachelor's degree in Computer Science from XYZ University. Previous roles include Software Developer at ABC Company and Junior Software Engineer at DEF Corporation."  
"2","Jane","Doe","456 Main St","Los Angeles","CA","Electrical Engineer","Jane Doe is an Electrical Engineer with over 7 years of experience in the field of electronics and electrical systems. Expert in designing, developing and testing electronic equipment and systems. Skilled in AutoCAD, MATLAB, and PLC Programming. Holds a Master's degree in Electrical Engineering from XYZ University. Previous roles include Electrical Systems Engineer at ABC Corporation and Junior Electrical Engineer at DEF Industries."  
"3","Bob","Smith","789 Main St","Chicago","IL","Structural Engineer","Bob Smith is a Structural Engineer with over 10 years of experience in the design and implementation of structural systems. Proficient in AutoCAD, Revit, and STAAD Pro for creating detailed structural designs. Expert in analyzing blueprints, reports, and tests on soil composition, terrain, and geological data to effectively plan and design structures. Holds a Master's degree in Structural Engineering from XYZ University. Previous roles include Senior Structural Engineer at ABC Firm and Junior Structural Engineer at DEF Corporation."  
"4","Alice","Johnson","321 Oak St","Houston","TX","Cardiologist","Alice Johnson is a Board-Certified Cardiologist with over 15 years of experience in diagnosing and treating heart conditions. Specializes in performing diagnostic tests, interpreting results, and developing treatment plans for patients with heart disease. Skilled in Echocardiography, Stress Testing, and Cardiac Catheterization. Holds a Medical degree from XYZ Medical School. Previous roles include Cardiologist at ABC Hospital and Associate Cardiologist at DEF Medical Center."  
"5","Charlie","Brown","654 Pine St","Phoenix","AZ","Lawyer","Charlie Brown is a licensed Attorney with over 20 years of experience in civil litigation and criminal defense. Specializes in representing clients in court, drafting legal documents, and providing legal advice on various matters. Skilled in legal research, case analysis, and negotiation. Holds a Juris Doctor degree from XYZ Law School. Previous roles include Attorney at ABC Law Firm and Associate Attorney at DEF Legal Services."  
"6","David","Williams","987 Maple St","San Antonio","TX","Nurse","David Williams is a Registered Nurse with 10 years of experience in providing patient care and medical treatment. Specializes in administering medications, monitoring patient vital signs, and assisting with medical procedures. Skilled in patient assessment, wound care, and infection control. Holds a Bachelor of Science in Nursing from XYZ College. Previous roles include Staff Nurse at ABC Hospital and Charge Nurse at DEF Medical Center."  
"7","Eva","Davis","741 Elm St","Dallas","TX","Teacher","Eva Davis is a Certified Teacher with 15 years of experience in elementary education. Specializes in developing lesson plans, delivering instruction, and assessing student learning. Skilled in classroom management, student engagement, and curriculum development. Holds a Master's degree in Education from XYZ University. Previous roles include Elementary Teacher at ABC School and Lead Teacher at DEF Academy."  
"8","Frank","Miller","852 Cedar St","San Jose","CA","Accountant","Frank Miller is a Certified Public Accountant (CPA) with over 10 years of experience in financial accounting and tax preparation. Specializes in preparing financial statements, analyzing financial data, and ensuring compliance with tax laws and regulations. Skilled in QuickBooks, Excel, and tax software. Holds a Bachelor's degree in Accounting from XYZ College. Previous"
"9","Grace","Wilson","963 Birch St","Philadelphia","PA","Architect","Grace Wilson is a Licensed Architect with 8 years of experience in architectural design and project management. Specializes in creating building plans, coordinating with contractors, and overseeing construction projects. Skilled in AutoCAD, SketchUp, and Adobe Creative Suite. Holds a Master's degree in Architecture from XYZ University. Previous roles include Project Architect at ABC Architecture Firm and Junior Architect at DEF Design Studio."  
"10","Henry","Moore","147 Spruce St","San Diego","CA","Chef","Henry Moore is an Executive Chef with 12 years of experience in the culinary industry. Specializes in menu planning, food preparation, and kitchen management. Skilled in creating gourmet dishes, managing kitchen staff, and ensuring food safety standards. Holds a degree in Culinary Arts from XYZ Culinary Institute. Previous roles include Head Chef at ABC Restaurant and Sous Chef at DEF Bistro."  
"11","Ivy","Clark","258 Oak St","Indianapolis","IN","Dentist","Ivy Clark is a General Dentist with 5 years of experience in providing dental care and treatment to patients of all ages. Specializes in performing routine dental exams, diagnosing oral health issues, and providing preventive care. Skilled in restorative dentistry, oral surgery, and patient education. Holds a Doctor of Dental Surgery (DDS) degree from XYZ Dental School. Previous roles include Dentist at ABC Dental Clinic and Associate Dentist at DEF Dental Center."  
"12","Jack","Roberts","369 Elm St","Seattle","WA","Software Engineer","Jack Roberts is a Software Engineer with 8 years of experience in software development and programming. Specializes in web application development, database design, and system integration. Skilled in Java, Python, JavaScript, and SQL. Holds a Bachelor's degree in Computer Science from XYZ University. Previous roles include Software Developer at ABC Company and Senior Software Engineer at DEF Corporation."  
"13","Kate","Evans","741 Pine St","Denver","CO","Marketing Manager","Kate Evans is a Marketing Manager with 10 years of experience in developing and implementing marketing strategies. Specializes in market research, campaign planning, and brand management. Skilled in digital marketing, social media, and analytics. Holds a Master's degree in Marketing from XYZ Business School. Previous roles include Marketing Specialist at ABC Corporation and Senior Marketing Manager at DEF Company."  
